Date,Open,High,Low,Close,Adj Close,Volume
1997-09-12,18.0122,18.1128,17.8199,18.031,18.031,2563010
1997-09-15,18.031,18.0714,17.7567,17.8662,17.8662,2839562
1997-09-16,18.031,18.755,18.031,18.5991,18.5991,3526841
1997-09-17,18.5074,18.612,18.0714,18.4659,18.4659,3085231
1997-09-18,18.7008,19.0499,18.679,18.8813,18.8813,3390474
1997-09-19,18.5538,18.7214,18.5074,18.6327,18.6327,3019649
1997-09-22,18.5538,18.9473,18.5291,18.8813,18.8813,2622580
1997-09-23,18.904,18.904,18.4057,18.5291,18.5291,2053361
1997-09-24,18.5538,18.7008,18.0477,18.0911,18.0911,3205195
1997-09-25,18.3407,18.4057,17.8849,17.8849,17.8849,2905965
1997-09-26,18.0714,18.1947,17.9461,18.0477,18.0477,2970183
1997-09-29,17.9678,18.1799,17.8849,18.0477,18.0477,2159117
1997-09-30,18.0477,18.2608,17.9905,18.0122,18.0122,2076863
1997-10-01,18.031,18.7008,18.031,18.5291,18.5291,3387744
1997-10-02,18.4511,18.5074,18.1128,18.3407,18.3407,1989135
1997-10-03,18.7412,18.7796,18.0911,18.4057,18.4057,2403147
1997-10-06,18.679,19.1605,18.5745,19.1161,19.1161,2998876
1997-10-07,19.1161,19.346,18.9227,19.2966,19.2966,2418176
1997-10-08,19.2966,19.3232,19.0155,19.1989,19.1989,1517201
1997-10-09,18.7008,19.5107,18.6554,19.489,19.489,2293018
1997-10-10,19.3232,19.5915,19.2196,19.5767,19.5767,1944324
1997-10-13,19.8244,19.996,19.6172,19.9742,19.9742,2070303
1997-10-14,20.0739,20.3245,19.9072,20.2791,20.2791,5251722
1997-10-15,20.2002,20.2002,19.7247,20.0296,20.0296,5890907
1997-10-16,20.1558,20.433,19.6172,19.8628,19.8628,4417156
1997-10-17,19.5915,19.7602,19.3666,19.5699,19.5699,2148733
1997-10-20,19.489,19.8244,19.3232,19.7178,19.7178,1754129
1997-10-21,19.6359,19.8244,19.6359,19.7819,19.7819,1344221
1997-10-22,19.849,20.2643,19.7819,20.1558,20.1558,3883459
1997-10-23,19.5353,20.0562,19.489,19.8244,19.8244,4261937
1997-10-24,19.8244,20.1558,19.3864,19.4228,19.4228,4560894
1997-10-27,19.1525,19.3232,17.6896,17.7034,17.7034,6279501
1997-10-28,16.7643,18.4443,16.6814,18.1868,18.1868,10607022
1997-10-29,18.1641,18.1641,17.6245,17.7735,17.7735,5362401
1997-10-30,17.4766,17.8504,17.4134,17.4766,17.4766,4547775
1997-10-31,17.6679,17.6679,17.0622,17.1845,17.1845,3748190
1997-11-03,17.4766,17.7497,17.3739,17.52,17.52,3705282
1997-11-04,17.7497,17.8928,17.3976,17.4766,17.4766,2838741
1997-11-05,17.6896,18.4443,17.5821,17.8347,17.8347,3396764
1997-11-06,17.7735,17.7903,17.3976,17.4332,17.4332,4028839
1997-11-07,17.1845,17.1845,16.7643,17.0819,17.0819,5871231
1997-11-10,17.3098,17.3522,16.7643,16.8264,16.8264,3586958
1997-11-11,16.5137,16.5137,15.6574,16.1606,16.1606,13554798
1997-11-12,15.7788,15.9257,14.813,15.0044,15.0044,14351104
1997-11-13,15.2549,15.3832,14.7558,15.1918,15.1918,11837836
1997-11-14,15.1918,15.7127,14.9226,15.4039,15.4039,9274283
1997-11-17,15.5894,15.9257,15.5686,15.8005,15.8005,8085820
1997-11-18,16.0491,16.0491,15.5519,15.6338,15.6338,6123735
1997-11-19,15.5894,15.7127,15.3151,15.6338,15.6338,5093223
1997-11-20,15.7788,15.8853,15.6762,15.6762,15.6762,5575826
1997-11-21,15.6762,16.1378,15.5894,15.9939,15.9939,6187677
1997-11-24,16.0244,16.1606,15.7788,15.8853,15.8853,6014424
1997-11-25,16.0935,16.196,15.7374,15.9455,15.9455,5676665
1997-11-26,16.0935,16.0935,15.8617,15.8617,15.8617,2839013
1997-11-28,15.8617,16.2612,15.8617,16.0718,16.0718,2088884
1997-12-01,16.196,16.6005,16.1142,16.4901,16.4901,4266313
1997-12-02,16.6005,17.2447,16.5531,17.0819,17.0819,6260097
1997-12-03,17.0622,17.0622,16.4299,16.8452,16.8452,3768404
1997-12-04,17.1845,17.3522,16.8935,17.0158,17.0158,4179136
1997-12-05,16.7446,17.3739,16.6341,17.3522,17.3522,5330154
1997-12-08,17.7735,17.7735,17.2861,17.3305,17.3305,3861598
1997-12-09,17.2447,17.2447,16.7031,16.9517,16.9517,4316045
1997-12-10,16.8452,16.9517,16.5345,16.7446,16.7446,5510240
1997-12-11,16.4299,16.9142,16.3086,16.7446,16.7446,3289634
1997-12-12,16.9369,17.3522,16.9369,17.0158,17.0158,4955778
1997-12-15,16.9704,17.1609,16.9704,16.9922,16.9922,4575649
1997-12-16,17.0158,17.0819,16.2158,16.3667,16.3667,8830211
1997-12-17,16.7248,17.0957,16.4743,16.9922,16.9922,6163636
1997-12-18,16.781,16.8048,16.1774,16.3233,16.3233,4892920
1997-12-19,16.1774,16.2158,15.612,16.1378,16.1378,5634852
1997-12-22,16.1606,16.4299,16.1142,16.196,16.196,2088884
1997-12-23,16.1142,16.1378,15.7788,15.7788,15.7788,2006901
1997-12-24,15.8005,15.9257,15.612,15.612,15.612,950712
1997-12-26,15.695,15.8005,15.3832,15.4207,15.4207,1033512
1997-12-29,15.7591,15.8449,15.612,15.8005,15.8005,1887757
1997-12-30,15.9939,16.3835,15.7591,16.2858,16.2858,2939028
1997-12-31,16.2612,16.346,15.9455,16.2612,16.2612,2148188
1998-01-02,16.3835,16.4299,16.2612,16.4299,16.4299,1837751
1998-01-05,16.3667,16.7248,16.1606,16.6577,16.6577,3482841
1998-01-06,16.6341,16.6577,16.4062,16.5345,16.5345,1976029
1998-01-07,16.5345,16.5345,15.9455,16.2375,16.2375,2986032
1998-01-08,15.8005,15.9257,15.612,15.695,15.695,2921536
1998-01-09,15.6762,15.7788,15.2391,15.2391,15.2391,4467983
1998-01-12,15.2165,15.8449,15.0498,15.5686,15.5686,5221388
1998-01-13,15.5686,15.6762,15.3151,15.4434,15.4434,5127934
1998-01-14,15.3625,15.5894,15.2955,15.5519,15.5519,4695619
1998-01-15,15.5894,15.6338,15.1287,15.3369,15.3369,3544328
1998-01-16,15.8449,15.8449,15.1681,15.2767,15.2767,5892275
1998-01-20,15.1918,15.2549,15.0044,15.1681,15.1681,8294327
1998-01-21,15.3369,15.9939,15.3151,15.8005,15.8005,15513880
1998-01-22,15.5282,15.5686,15.2549,15.3625,15.3625,7432435
1998-01-23,15.469,15.4848,15.1681,15.3369,15.3369,6163907
1998-01-26,15.5894,15.612,15.3151,15.3832,15.3832,3030035
1998-01-27,15.398,15.7591,15.398,15.6338,15.6338,4282159
1998-01-28,15.8222,16.2218,15.7591,16.2218,16.2218,4219583
1998-01-29,16.3904,16.5197,16.0935,16.3539,16.3539,4131036
1998-01-30,16.4969,16.4969,16.0145,16.1842,16.1842,3262316
1998-02-02,16.4743,16.9566,16.4545,16.9428,16.9428,4375344
1998-02-03,17.0227,17.2141,16.8126,17.0227,17.0227,5271121
1998-02-04,16.7712,16.9566,16.6203,16.8126,16.8126,2678332
1998-02-05,17.1105,17.1105,16.4299,16.4743,16.4743,4542043
1998-02-06,16.854,17.1915,16.7308,17.1105,17.1105,3447317
1998-02-09,17.1915,17.6955,17.1677,17.6955,17.6955,3316144
